编号,当前年薪,开始年薪,工作时间,先前工作经验,受教育年限,性别
1,27900,12750,98,115,15,女
2,28350,12000,98,26,8,男
3,135000,79980,96,199,19,男
4,110625,45000,96,120,19,男
5,23250,14250,95,46,12,男
6,34800,14550,93,8,16,女
7,40200,19500,92,168,17,男
8,31500,18750,90,205,12,女
9,24300,15000,90,191,15,男
10,30900,15000,88,252,12,男
11,26700,13500,88,38,12,男
12,25050,12750,87,123,16,女
13,26700,13500,86,367,12,男
14,69250,42480,85,134,20,男
15,31950,15000,85,438,8,男
16,26250,15600,85,171,8,男
17,17100,10200,85,72,12,女
18,24000,12750,85,59,12,女
19,19800,10200,83,75,8,女
20,40200,21000,81,3,16,男
21,24900,11250,81,0,12,女
22,23100,11250,81,13,12,女
23,33900,16500,79,94,12,男
24,47250,21240,74,45,16,男
25,26100,11550,74,2,12,女
26,59400,33750,74,272,12,男
27,17700,10200,72,184,8,女
28,36600,18000,71,12,16,女
29,24450,18750,68,344,8,女
30,25200,18750,68,344,8,女
31,30300,15750,68,155,8,男
32,35250,13500,67,6,15,男
33,20850,13500,67,181,12,女
34,86250,45000,66,50,18,男
35,70000,21750,65,19,16,男
36,26250,15750,64,69,12,男
